Plot (r=??),Species,DBH (cm),Height (m),Notes
HY9,SERREP,3.8,1.7,
HY9,PINELL,30.1,22.5,
HY9,SABPAL,26.2,10.5,
HY9,NA,17.4,21.0,DEAD/SCORTCHED
HY9,SABPAL,17.2,5.3,
HY9,PINELL,42.2,22.2,TILUSN
HY9,NA,40.8,20.1,
HY9,NA,25.2,15.3,
HY10,QUEVIR,61.5,20.1,"ENCTAM, PLEMIC, TILSET, TILREC, TILUSN, TILSIM"
HY10,SABPAL,35.1,11.6,"TILSET, TILREC"
HY10,SABPAL,26.1,11.4,"TILSET, TILREC, TILUSN, PHLAUR"
HY10,SABPAL,23.7,12.2,"TILREC, "
HY10,SABPAL,22.0,6.4,TILSET
HY10,QUEVIR,47.8,19.3,"PLEMIC, TILSET, TILUSN, TILREC, TILSIM"
HY10,SABPAL,29.5,9.0,"TILSET, TILUSN, TILREC"
HY10,SABPAL,27.6,13.2,"TILREC, "
HY10,SABPAL,28.4,8.4,"TILUSN, TILREC, "
HY10,SABPAL,31.2,13.4,PHLAUR
HY10,SABPAL,28.8,12.8,"VITLIN, PHLAUR, "
HY10,SABPAL,27.2,7.9,"TILREC, VITLIN"
HY10,SABPAL,25.5,13.5,"TILUSN, TILREC, PHLAUR, TILSET"
HY10,SABPAL,27.4,8.6,
HY10,SABPAL,29.1,12.3,TILREC
HY10,QUEVIR,71.4,19.3,"PLEMIC, TILSIM, TILSET, TILUSN, ENCTAM"
HY10,SABPAL,26.7,13.5,"TILREC, TILSET, PHLAUR, "
HY10,SABPAL,24.6,13.1,"TILREC, TILSET, PHLAUR, VITLIN"
HY10,SABPAL,32.2,13.7,"PHLAUR, VITLIN, "
HY10,SABPAL,22.9,12.9,"PHLAUR,  "
HY10,SABPAL,30.4,6.7,"VITLIN, PHLAUR, TILSET, "
HY10,SABPAL,31.4,14.1,"VITLIN, TILREC, PHLAUR, TILSET"
HY10,SABPAL,45.0,1.7,
HY10,SABPAL,15.6,1.3,
HY10,SABPAL,23.7,10.4,"PHLAUR, TILREC"
HY10,SABPAL,29.7,9.5,"VITLIN, TILREC, TILSET"
HY10,SABPAL,29.8,11.5,"VITLIN, TILSET, TILREC, PHLAUR"
HY10,SABPAL,29.9,16.4,"TILREC, PHLAUR, TILUSN"
HY10,SABPAL,36.0,3.6,
HY10,SABPAL,23.0,10.0,"VITLIN, TILSET, TILREC"
HY10,SABPAL,22.6,2.5,"VITSET, VITLIN"
HY10,SABPAL,22.5,11.5,"VITSET, PHLAUR, TILREC"
HY10,SABPAL,34.0,10.6,"TILSET, TILUSN, "
HY10,SABPAL,37.0,16.5,"TILUSN, TILSET, TILREC, PHLAUR, VITLIN"
HY10,SABPAL,26.1,9.5,"TILREC, TILSET, VITLIN, "
HY10,SABPAL,24.7,11.7,"TILUSN, TILSET, TILREC,  "
HY10,SABPAL,30.6,11.9,"TILREC, TILSET, PHLAUR, "
HY10,SABPAL,28.8,12.3,"PHLAUR, VITLIN, "
HY10,QUEVIR,35.3,13.6,"PLEMIC, TILSET, ENCTAM, TILUSN, TILREC"
HY10,SABPAL,29.0,11.6,"TILUSN, PHLAUR, "
HY10,SABPAL,25.5,5.8,"VITLIN, TILSET"
HY10,ULMAME,13.2,10.0,"VITSET, TILUSN, PLEMIC"
HY11,NA,46.5,8.9,DEAD
HY11,SABPAL,24.5,1.3,
HY11,QUELAU,17.2,8.7,"TILUSN, TILSET"
HY11,SABPAL,28.2,6.2,"VITLIN, PHLAUR"
HY11,SABPAL,27.8,2.8,
HY11,SABPAL,25.7,5.6,
HY11,SABPAL,31.6,8.9,"PHLAUR, TILUSN"
HY11,SABPAL,30.8,8.7,PHLAUR
