Plot (r=??),Species,DBH (cm),Height (m),Notes
SF6,QUEGEM,3.2,3.4,
SF6,QUEGEM,2.6,2.3,
SF6,QUEMYR,2.5,2.8,
SF6,QUECHA,"3.5,3.1","3.8,3.8",
SF6,QUEGEM,2.9,2.6,
SF6,QUEGEM,2.9,2.6,
SF6,QUECHA,2.8,3.6,
SF6,QUECHA,3.8,4.0,
SF6,QUEGEM,3.7,3.8,
SF6,QUECHA,3.1,4.0,
SF6,QUECHA,"2.8,3.0",3.7,
SF6,UNKNOWN ,4.7,1.8,Dead
SF6,QUECHA,3.9,2.6,
SF6,QUECHA,2.6,2.5,
SF6,QUEMYR,2.5,2.3,
SF6,QUECHA,3.6,3.5,
SF6,QUEMYR,2.8,4.6,
SF6,QUEMYR,4.3,5.0,
SF6,QUEMYR,4.2,4.4,
SF6,QUEMYR,4.3,4.5,
SF6,QUECHA,3.8,3.5,
SF6,QUEMYR,2.8,2.6,
SF6,QUEGEM,5.1,2.5,
SF6,QUEGEM,5.8,3.6,
SF6,QUEMYR,3.7,4.0,
SF6,QUEGEM,4.5,4.0,
SF6,QUECHA,3.9,3.7,
SF6,QUEGEM,"2.5, 4.2","2, 3.6",
SF6,QUEGEM,"3.2, 8.9","3.8, 2.0",
SF6,QUEGEM,4.9,3.7,
SF6,QUEMYR,2.5,3.0,
SF6,QUECHA,3.1,2.9,
SF6,QUEGEM,"2.8, 2.5","2.3, 2.3",
SF6,QUEMYR,3.5,4.0,
SF6,QUEGEM,"2.7, 4.2","2.3, 3.3",
SF6,QUEGEM,2.5,3.5,
SF6,QUEGEM,2.9,"3.5, 2.3",
SF6,QUEMYR,2.9,2.8,
SF6,QUEMYR,2.8,2.6,
SF6,QUEMYR,2.6,3.5,
SF6,QUEGEM,2.8,3.3,
SF6,LYOFRU,2.6,3.1,
SF6,QUEGEM,22.7,5.4,"TILREC, TILSET"
SF6,QUEGEM,3.7,3.8,
SF6,QUEGEM,3.1,2.8,
SF6,QUEGEM,2.5,2.8*,
SF6,QUEGEM,"6.5, 3.8","4.8, 3.7",
SF6,QUEGEM,4.3,4.4,
SF6,QUEGEM,4.2,5.0,
SF6,QUEGEM,3.1,3.0,
SF6,QUEGEM,3.4,3.8,
SF6,QUEGEM,3.0,3.2,
SF6,QUEGEM,2.5,3.3,
SF6,QUECHA,3.8,3.4,
SF6,QUECHA,2.9,3.4*,
SF6,QUECHA,2.8,3.1,
SF6,QUEMYR,3.7,3.3,
SF6,QUEMYR,3.9,4.2,
SF6,QUECHA,3.3,3.8,
SF6,LYOFRU,3.2,5.3,
SF6,QUEGEM,2.7,3.7,
SF6,QUEMYR,3.0,3.8,
SF6,QUEMYR,2.5,3.4,
SF6,QUEGEM,5.3,3.6,
SF6,QUEGEM,3.9,3.8,
SF6,QUEGEM,3.2,3.4,
SF6,QUEGEM,3.1,4.2,
SF6,QUEGEM,3.2,3.5,
SF6,QUEGEM,"4.9, 3.5, 3.0, 14.4","4.3, 3.9, 4.0, 5.1",
SF6,QUEGEM,"11.7, 4.1","3.8, 5.1",
SF6,QUEGEM,4.6,5.3,
SF6,QUEGEM,2.5,4.0,
SF6,QUEGEM,20.4,5.8,
SF6,QUEMYR,3.1,4.2,
SF6,QUEGEM,5.4,5.2,
SF6,QUEGEM,4.6,4.7,
SF6,QUEGEM,3.0,4.4,
SF6,QUEGEM,4.0,4.9,
SF6,QUEGEM,3.4,3.8,
SF6,QUEGEM,5.1,4.1,
SF6,QUEGEM,3.7,4.3,
SF6,QUEMYR,2.8,3.8,
SF6,QUEGEM,3.3,4.1,
SF6,QUEGEM,4.1,4.3,
SF6,QUEGEM,3.6,3.3,
SF6,QUEMYR,6.0,4.8,
SF6,QUEGEM,2.5,2.4,
SF6,QUEGEM,5.0,3.6,
SF6,QUEMYR,3.7,3.8,
SF6,QUEMYR,2.7,2.8,
SF6,QUEMYR,2.5,3.3,
SF6,QUEMYR,3.1,2.9,
SF6,QUEGEM,"3.9, 3.5, 3.4","2.7, 2.7, 2.5",
SF6,QUEMYR,2.5,3.0,
SF6,QUEGEM,2.8,2.3,
SF6,QUEGEM,2.7,2.2,
SF7,NA,NA,NA,
SF8,QUEMYR,2.7,2.9,SMIAUR
SF8,QUEMYR,3.0,2.7,SMIAUR
SF8,QUEMYR,3.1,2.7,
SF8,QUEMYR,3.1,2.1,
SF8,QUECHA,3.9,3.3,
SF8,DEAD,3.1,2.8,"TILSET, TILREC"
SF9,NA,NA,NA,
SF10,QUEMYR,2.9,3.2,TILREC
SF10,QUEMYR,4.5,3.5,TILREC
SF10,QUEMYR,4.2,3.4,
SF10,QUEMYR,3.2,3.1,TILREC
SF10,QUEMYR,3.0,2.5,TILREC
SF10,QUEMYR,3.0,2.8,
SF10,QUEMYR,3.1,2.7,TILREC
SF10,QUEMYR,3.7,3.5,TILREC
SF10,QUEMYR,4.8,3.5,"TILREC, TILSET"
SF10,QUEMYR,4.5,3.7,TILREC
SF10,QUEMYR,4.2,3.4,TILREC
SF10,QUEMYR,4.6,3.7,TILREC
SF10,QUEMYR,4.2,3.1,
SF10,QUEMYR,3.7,2.7,
SF10,QUECHA,3.7,2.3,
SF10,QUEGEM,2.8,2.3*,
SF10,QUEGEM,3.1,2.5,
SF10,QUEGEM,3.0,2.3,
SF10,PINCLA,4.0,3.7,
SF10,QUECHA,2.6,2.5,
SF10,QUECHA,3.7,2.8,
SF10,QUECHA,2.6,2.5,TILREC
SF10,QUEMYR,2.5,2.4,
SF10,QUECHA,2.7,2.4*,
SF10,QUECHA,2.8,2.3,
SF10,QUEMYR,2.6,2.5,
SF10,QUEMYR,4.7,3.8,TILREC
SF10,QUEMYR,4.2,3.9,TILREC
SF10,QUEMYR,4.7,3.6,
SF10,QUEMYR,4.5,3.6*,TILREC
SF10,QUEMYR,3.1,3.5,
SF10,QUEMYR,3.7,3.6,TILREC
SF10,QUEMYR,3.2,3.4,TILREC
SF10,QUECHA,2.9,2.6,
SF10,QUEMYR,2.7,3.3,TILREC
SF10,QUEMYR,4.6,4.0,"TILREC, TILUSN"
SF10,QUEMYR,4.7,3.3,
SF10,QUEMYR,2.7,2.5,
SF10,QUEMYR,3.9,3.1,TILREC
SF10,QUEMYR,3.0,2.7,
SF10,QUEMYR,4.9,2.9,
SF10,QUEMYR,4.2,3.0,
SF10,QUEMYR,3.1,3.1,TILSET
SF10,QUEMYR,3.3,2.6,
SF10,QUEMYR,3.4,2.7,
SF10,QUEMYR,2.8,2.9,
SF10,QUEMYR,3.6,3.1,"TILREC, TILUSN"
SF10,QUEMYR,3.7,3.1,
SF10,QUEMYR,2.8,3.1,
SF10,QUEMYR,2.9,2.5,TILREC
SF10,QUEMYR,3.6,2.8,
SF10,QUEMYR,3.9,3.1,
SF10,QUECHA,2.5,2.4,
SF10,QUEMYR,2.5,2.6,
SF10,QUECHA,2.6,2.5,
SF10,QUEMYR,5.5,3.8,"TILREC, TILUSN"
SF10,QUEMYR,3.2,2.7,TILSET
SF10,QUEMYR,2.7,3.3,
SF10,QUEMYR,3.6,3.2,TILREC
SF10,QUEMYR,3.5,3.5,TILREC
SF10,QUEMYR,2.5,2.3,
SF10,QUEMYR,2.6,2.7,
